name,url,address,scope,country,state
=== NATIONAL NEWS SITES (Nigeria) ===,,,,,
Nigerian Television Authority,https://www.nta.ng/,"2GX2+978, Garki 2, Abuja 900103, Federal Capital Territory, Nigeria",national,Nigeria,Lagos
Daily Trust NewsPaper,https://dailytrust.com/,"20 P.O.W. Mafemi Cres, Utako, Abuja 900108, Federal Capital Territory, Nigeria",national,Nigeria,Lagos
The News Chronicle,https://thenews-chronicle.com/,"Unit 1, Vintage Hill Estate Plot No 1368, Guzape, District 900231, Federal Capital Territory, Nigeria",national,Nigeria,Lagos
Channels Television,https://channelstv.com/,"Abazie Ifeanyi Close, Guzape, Abuja 900110, Federal Capital Territory, Nigeria",national,Nigeria,Lagos
Trust TV,https://trusttv.com/,"20 P.O.W. Mafemi Cres, Mabushi, Abuja 900108, Federal Capital Territory, Nigeria",national,Nigeria,Lagos
The Nigerian News,https://thenigerian.news/,"2 Jos Rd, Ado 900101, Federal Capital Territory, Nigeria",national,Nigeria,Lagos
"FRCN Radio House, Abuja",https://radionigeria.gov.ng/,"2FRR+JGP, Herbert Macaulay Wy, Garki, Abuja 900103, Federal Capital Territory, Nigeria",national,Nigeria,Lagos
Channels TV,http://www.channelstv.com/,"44/48 Channels TV Ave, Isheri-North, Lagos 102109, Ogun State, Nigeria",national,Nigeria,Lagos
"Tvc News, Abuja Bureau",http://www.tvcnews.tv/,"22, Okemesi Crescent, Off Oro Ago St, Garki, Abuja 900103, Federal Capital Territory, Nigeria",national,Nigeria,Lagos
Silverbird Television Abuja,http://silverbirdgroup.com/,"1161 Sani Abacha Wy, Phase 1, Abuja 904101, Federal Capital Territory, Nigeria",national,Nigeria,Lagos
,,,,,
=== STATE/LOCAL NEWS SITES (Lagos) ===,,,,,
TVC Communications Ltd,https://tvccommunications.tv/,"Plot HL-B-12, Harbour Light District, Atlantic Free Zone City, Victoria Island, Lagos 106104, Lagos, Nigeria",state,Nigeria,Lagos
Okay News,https://www.okaynews.com/,"20AH, Jimoh Oladehinde, Road, Gbagada, Lagos 100242, Lagos, Nigeria",state,Nigeria,Lagos
Livenews Nigeria,https://livenews.ng/,"37 College Rd, Ifako Agege, Lagos 100215, Lagos, Nigeria",state,Nigeria,Lagos
Cvnews (Critical Voice),https://www.cvnewsng.com/,"57 Adebayo Mokuolu St, Anthony, Lagos 100001, Lagos, Nigeria",state,Nigeria,Lagos
Irawo Fm Irawo 92.5fm,https://irawofm.ng/,"Oxygen House 7 Hassan Lateef Str, Akeja St, Local, Government Area, Ota 112212, Ogun State, Nigeria",state,Nigeria,Lagos
